"","id","lcp","year","source","unc","occ_type","origin","geo","pass"
"66",113,2.81766255009973,2020,"ndop",10,"occs","A",2.22142697946475,2.29923658194636
"67",114,19.8706364317806,2010,"nat_mapping",NA,"occs","A",18.7780874259502,19.8715488396353
"68",115,24.5205095892411,2020,"ndop",5,"occs","A",21.5311834061745,22.750817800992
"69",116,45.3983376881485,2011,"nat_mapping",NA,"occs","A",41.1402789325725,43.5282916436127
"70",117,80.9451619826916,2020,"ndop",8,"occs","A",70.388218901999,76.0764820699363
"71",118,1.68875848298032,2007,"nat_mapping",NA,"occs","B",1.60211329223926,1.68899262229224
"72",119,60.3963132374033,2019,"ndop",1,"occs","A",53.159583737647,55.8575419555585
"73",120,46.7492472275015,2016,"nat_mapping",NA,"occs","A",36.6350218489277,37.591834795314
"74",121,59.5124292372174,2019,"ndop",1,"occs","A",52.63516712506,55.1471726439345
"75",122,23.9159880088211,2014,"nat_mapping",NA,"occs","A",21.6494215798363,23.0458793447588
"76",123,55.6954008134477,2019,"ndop",1,"occs","A",53.063123574387,55.6096857019648
"77",124,21.6189468295042,2014,"nat_mapping",NA,"occs","A",19.0998820533852,20.5652899148578
"78",125,125.209167092794,2020,"ndop",262,"occs","A",102.201432273212,109.127139959967
"79",126,55.3893232430026,2019,"ndop",1,"occs","A",52.7575475996965,54.9921906934382
"80",128,0.306197085997067,2009,"nat_mapping",NA,"occs","A",0.306236468507176,0.306235380651906
"81",129,2.7073470159289,2006,"hol2007",NA,"occs","B",1.89766414087345,2.30617064286405
"82",130,56.2560999005594,2019,"ndop",1,"occs","A",51.1135467077675,53.617207896107
"83",132,71.0268685139831,2019,"ndop",1,"occs","A",61.8878368724527,66.6803446688164
"84",133,20.5518301264334,2010,"nat_mapping",NA,"occs","B",19.5772612725794,20.3396811049438
"85",134,70.9777670674556,2019,"ndop",1,"occs","A",61.5869059342637,66.3747387902307
"86",135,45.2429372844964,2011,"nat_mapping",NA,"occs","A",41.1758874344469,43.6838621572777
"87",136,56.3074537486315,2020,"ndop",9,"occs","A",53.6742952530236,56.2219175716733
"88",137,7.3292190045453,2011,"nat_mapping",NA,"occs","B",5.56830678122764,5.80724887059821
"89",138,112.761123487266,2019,"ndop",16,"occs","A",94.0542291681936,100.759834297167
"90",139,26.8363493973634,2012,"nat_mapping",NA,"occs","A",22.5467032363954,23.502513860081
"91",140,43.9392352356454,2018,"ndop",1,"occs","A",41.1688396856632,43.584447377526
"92",141,120.337489429253,2013,"nat_mapping",NA,"occs","B",105.505405938902,113.804525753535
"93",142,73.8618448953374,2018,"ndop",1,"occs","A",63.9440300698098,68.9812096210968
"94",143,26.8174188178197,2013,"nat_mapping",NA,"occs","A",25.1530837306792,27.1319212368398
"95",144,63.0384127811355,2018,"ndop",1,"occs","A",56.2474606967785,59.2904120678813
"96",145,23.9101304148176,2013,"nat_mapping",NA,"occs","A",22.1305321074473,23.9133468836678
"97",146,88.0041750360496,2019,"ndop",0,"occs","B",78.2284069477008,82.2912797717492
"98",147,23.915064896971,2013,"nat_mapping",NA,"occs","A",21.9252686244229,23.9183790598796
"99",148,70.0641553248407,2020,"ndop",4,"occs","A",61.0817648014559,65.1947628998308
"100",149,55.7938212403639,2019,"ndop",14,"occs","A",52.8182327931311,55.3023049346594
"101",150,72.7235514861855,2015,"nat_mapping",NA,"occs","A",58.9690706053217,63.3913044782549
"102",151,24.009184913011,2013,"nat_mapping",NA,"occs","A",21.4461042718286,22.6762056955329
"103",153,60.0675989809558,2019,"ndop",10,"occs","A",53.5044701033207,56.5340489954775
"104",154,44.3026613780712,2014,"nat_mapping",NA,"occs","A",41.0711194444234,43.8771108873334
"105",155,60.2798658765613,2019,"ndop",12,"occs","A",53.8091866642652,56.8400371273508
"106",156,20.1388012769562,2014,"nat_mapping",NA,"occs","A",18.3893881486505,19.7805097436564
"107",157,51.5004471157687,2019,"ndop",2,"occs","A",47.8139888334982,51.2117898363974
"108",158,27.7515273471436,2015,"nat_mapping",NA,"occs","A",25.4646689671681,27.7553395390865
"109",159,60.3963132374033,2019,"ndop",16,"occs","A",53.159583737647,55.8575419555585
"110",160,20.6332763728593,2015,"nat_mapping",NA,"occs","A",19.1882422112524,20.9471544090526
"111",161,66.2017988454921,2019,"ndop",3,"occs","A",60.4438203292121,64.8456426635897
"112",162,8.85151678554127,2015,"nat_mapping",NA,"occs","A",8.50170298959401,8.77487623714544
"113",163,54.8711464604028,2019,"ndop",3,"occs","A",50.2521905360409,52.8548601926071
"114",164,11.4417785262618,2015,"nat_mapping",NA,"occs","A",9.89186536830397,10.2774808092892
"115",165,61.3452398528507,2019,"ndop",10,"occs","A",55.5828661544241,58.82730538512
"116",167,69.0263732110288,2019,"ndop",7,"occs","A",60.6845340703189,65.8613439489422
"117",168,8.07856445407165,2015,"nat_mapping",NA,"occs","B",7.29645805688722,7.6780220103247
"118",169,60.4882135859788,2019,"ndop",6,"occs","A",53.4645388131831,56.0699164076957
"119",170,14.142218660927,2015,"nat_mapping",NA,"occs","A",13.2622734856914,14.0487070894035
"120",171,47.4777044835053,2020,"ndop",11,"occs","A",45.6596124024163,47.4842240401961
"121",172,112.761123487266,2019,"ndop",16,"occs","A",94.0542291681936,100.759834297167
"122",173,26.1660554182292,2012,"nat_mapping",NA,"occs","A",22.1578720264505,23.0841960844818
"123",174,14.142218660927,2016,"nat_mapping",NA,"occs","A",13.2622734856914,14.0487070894035
"124",175,103.176881993098,2019,"ndop",9,"occs","A",85.4819529218288,90.7459807976484
"125",177,0.306197085997067,2016,"nat_mapping",NA,"occs","A",0.306236468507176,0.306235380651906
"126",178,16.80732992818,2016,"nat_mapping",NA,"occs","A",15.2741178065786,16.0938503356257
"127",179,20.1388012769562,2016,"nat_mapping",NA,"occs","A",18.3893881486505,19.7805097436564
"128",180,17.0679873591334,2016,"nat_mapping",NA,"occs","A",14.56408590399,14.9184507640054
"129",181,5.51561814694332,2016,"nat_mapping",NA,"occs","A",5.28742631597709,5.51630308836819
"130",182,6.13255310758019,2016,"nat_mapping",NA,"occs","A",5.81460836125417,6.1333613684125
"131",183,25.8999894931736,2016,"nat_mapping",NA,"occs","A",23.6687892285522,24.9286278199471
"132",184,30.580905430601,2016,"nat_mapping",NA,"occs","A",28.1444704085929,30.1975223342958
"133",185,58.7711162351344,2020,"ndop",16,"occs","A",53.8723335224587,57.5591939506148
"134",187,31.6876685112159,2016,"nat_mapping",NA,"occs","A",29.0099374106013,31.0988014086747
"135",188,33.2807209190129,2016,"nat_mapping",NA,"occs","A",31.1525816686165,33.0958652697797
"136",189,1.99483215205559,2016,"nat_mapping",NA,"occs","B",1.95220027422248,1.95218648458128
"137",190,17.5741764545222,2016,"nat_mapping",NA,"occs","A",16.6209464768732,17.5748295583586
"138",191,18.7462734448483,2016,"nat_mapping",NA,"occs","A",17.7557392850124,18.7469615975467
"139",192,20.3273830228294,2016,"nat_mapping",NA,"occs","A",18.8954959659831,20.6412227506129
"140",193,86.7946072170239,2016,"nat_mapping",NA,"occs","B",75.9226477767761,83.0891437152228
"141",194,85.6269316911994,2016,"nat_mapping",NA,"occs","B",76.3874352571203,84.3590417665492
"142",195,10.4320899250765,2016,"nat_mapping",NA,"occs","A",8.71534487680298,9.41281225576376
"143",196,85.6269316911994,2016,"nat_mapping",NA,"occs","B",76.3874352571203,84.3590417665492
"144",197,61.8479419507211,2020,"ndop",4,"occs","A",53.7926082819278,56.6125885935014
"145",198,19.5649369230159,2010,"nat_mapping",NA,"occs","A",18.167546755961,19.5677340648512
"146",199,62.6349007462429,2017,"nat_mapping",NA,"occs","A",54.8635670695195,58.2704653239533
"147",200,53.5621007602267,2017,"nat_mapping",NA,"occs","A",47.7617202683076,51.2675086089451
"148",201,58.1868396766848,2017,"nat_mapping",NA,"occs","A",48.3698787231963,51.2767229224321
"149",202,31.3505200662503,2017,"nat_mapping",NA,"occs","A",28.4672682623581,30.3806591546457
"150",203,2.79718359075677,2017,"nat_mapping",NA,"occs","A",2.55508129873372,2.61037645138367
"151",204,29.3847422768939,2017,"nat_mapping",NA,"occs","A",26.1632174033465,27.5307370695982
"152",205,30.8799101505048,2017,"nat_mapping",NA,"occs","A",23.198709892537,24.2767174544521
"153",206,54.8711464604028,2017,"nat_mapping",NA,"occs","A",50.2521905360409,52.8548601926071
"154",208,25.0862430710396,2018,"nat_mapping",NA,"occs","A",21.8006724921561,22.8421908177091
"155",209,106.094501606125,2020,"ndop",16,"occs","A",91.2159903782653,97.1200215240947
"156",210,45.8616174830086,2011,"nat_mapping",NA,"occs","A",41.1098618849813,43.6745466644614
"157",211,60.835076392641,2018,"nat_mapping",NA,"occs","A",54.0744882730172,56.6819438481693
"158",212,21.7784717934015,2018,"nat_mapping",NA,"occs","A",17.4710752187952,18.2945608435662
"159",213,42.7699105919088,2018,"nat_mapping",NA,"occs","A",33.2138016791299,35.2243318708893
"160",214,47.0940440576509,2018,"nat_mapping",NA,"occs","A",37.8868563699556,39.8698360961798
"161",215,59.4486071201203,2018,"nat_mapping",NA,"occs","A",51.9502148122409,54.5199839872807
"162",216,27.9461176489706,2018,"nat_mapping",NA,"occs","B",25.9623994137574,26.7824241911978
"163",217,48.0367183097575,2018,"nat_mapping",NA,"occs","A",43.9736736519743,46.775991519297
"164",218,110.41918563531,2019,"nat_mapping",NA,"occs","A",96.4846028547964,102.318018932902
"165",219,21.6189468295042,2019,"nat_mapping",NA,"occs","A",19.0998820533852,20.5652899148578
"166",220,32.7404389341665,2019,"nat_mapping",NA,"occs","B",30.108556765821,31.0732125762207
"167",221,114.129126146259,2020,"ndop",3,"occs","A",95.273878373754,102.034782421695
"168",222,46.9135060784135,2014,"nat_mapping",NA,"occs","B",42.8743369415969,45.3057374717701
"169",223,28.8649945370381,2019,"nat_mapping",NA,"occs","B",27.3999282080115,28.3974302268673
"170",224,37.3137227885991,2019,"nat_mapping",NA,"occs","B",34.5556697641265,36.5135430254324
"171",225,35.2678616565914,2019,"nat_mapping",NA,"occs","B",33.6174456336054,34.6298154605881
"172",226,33.7344092780293,2019,"nat_mapping",NA,"occs","B",32.0904276181881,33.0027591491538
"173",227,33.9462424143478,2019,"nat_mapping",NA,"occs","B",32.3159433119503,33.3083281393953
"174",228,43.5876477440288,2019,"nat_mapping",NA,"occs","B",41.2876808550102,42.7929150130528
"175",229,44.4898898028255,2019,"nat_mapping",NA,"occs","B",42.3116021078412,43.6970049207501
"176",230,44.6969081251196,2019,"nat_mapping",NA,"occs","B",42.3864656244313,43.9024279145851
"177",231,44.1465664344006,2019,"nat_mapping",NA,"occs","B",41.9736737558881,43.3536760243347
"178",232,41.0820562069075,2019,"nat_mapping",NA,"occs","B",38.9536109227945,40.2094069246176
"179",233,19.1156894849491,2013,"nat_mapping",NA,"occs","A",14.300002673754,14.7207414783817
"180",234,89.7491265172112,2019,"nat_mapping",NA,"occs","A",77.0340055688294,82.2962602577659
"181",235,2.14807220617091,2019,"nat_mapping",NA,"occs","A",1.83741961806678,2.14833596213607
"182",236,39.0391559852496,2019,"nat_mapping",NA,"occs","A",31.9698574988155,33.2751813651744
"183",237,138.791886495136,2013,"nat_mapping",NA,"occs","B",118.201943992288,134.56952300867
